isbn,book_title,category,rental_price,status,author,publisher
978-4-982-72616-1,"Configurable Empowering Service-Desk",Classic,6.01,yes,"Leah Anderson",Doubleday
978-4-983-87264-0,"Cross-Group Bandwidth-Monitored Focus Group","Literary Fiction",7.33,yes,"Matthew Ayala",Hachette
978-4-986-14087-3,"Optimized Well-Modulated Architecture",Fantasy,9.02,no,"Eddie Williams",Hachette
978-4-995-14224-7,"Cloned Bifurcated Project",Children,5.49,yes,"John Brooks",Vintage
978-4-997-80504-9,"Multi-Layered Solution-Oriented Infrastructure",Children,8.94,no,"Kevin Schwartz",Doubleday
978-4-999-22183-5,"Team-Oriented Heuristic Frame",Dystopia,3.83,no,"Amanda Mason",Scholastic
978-5-101-96154-6,"Customer-Focused User-Facing Graphic Interface",Romance,9.27,yes,"Michael Butler","Simon & Schuster"
978-5-119-29942-0,"Diverse Composite Task-Force","Science Fiction",2.22,yes,"Tina Heath",Macmillan
978-5-127-64381-0,"Distributed Needs-Based Database",Fantasy,7.02,yes,"Matthew Fox",Scholastic
978-5-129-21898-2,"Upgradable Maximized Infrastructure",Romance,11.42,yes,"Amber Smith",Hachette
978-5-138-70412-6,"Proactive Even-Keeled Middleware",Biography,7.15,no,"Meredith Evans",Macmillan
978-5-141-38681-7,"Public-Key User-Facing Instruction Set",History,2.63,yes,"Andrea White","Simon & Schuster"
978-5-146-62505-0,"Managed Client-Driven Infrastructure",Biography,7.62,yes,"Victor Clark",Knopf
978-5-152-24544-6,"Implemented Reciprocal Knowledge User",Dystopia,6.65,yes,"Crystal Torres",Hachette
978-5-161-43847-4,"Optional Dedicated Function",Mystery,6.41,no,"Jennifer Cline","Simon & Schuster"
978-5-162-13689-9,"Persevering Bi-Directional Framework",Fiction,3.28,yes,"Rachel May",Hachette
978-5-192-61717-0,"Optional Heuristic Framework",Children,7.37,no,"Lori Price",Hachette
978-5-194-80206-3,"Cross-Group 4Thgeneration Secured Line",Fiction,4.68,yes,"Brittany Horn",HarperCollins
978-5-196-83133-6,"Mandatory Multi-Tasking Methodology",Children,4.52,yes,"Michelle Chandler",Hachette
978-5-231-97988-3,"Profound Fault-Tolerant Toolset",Classic,4.85,yes,"Casey Ryan","Simon & Schuster"
978-5-251-58878-7,"Total Empowering Middleware","Science Fiction",11.75,yes,"Jacob Schmidt",HarperCollins
978-5-259-21247-1,"User-Friendly 6Thgeneration Framework",Romance,2.55,yes,"David Harrison",Macmillan
978-5-259-23983-1,"Configurable Content-Based Projection",Classic,8.76,no,"William Burton",Doubleday
978-5-278-83659-9,"Balanced Composite Neural-Net",Thriller,5.57,yes,"Bonnie Leblanc",Scholastic
978-5-279-94957-8,"Integrated Human-Resource Database",Romance,2.67,yes,"Elizabeth Green","Random House"
978-5-281-62198-5,"Diverse Client-Driven Access",Children,9.35,no,"Alicia Lee",Doubleday
978-5-293-63967-8,"Customer-Focused Client-Server Encoding",Fantasy,5.95,yes,"James Cooper",Scholastic
978-5-304-64304-6,"Customer-Focused Bandwidth-Monitored Solution",Children,8.25,no,"Jesus White",Knopf
978-5-319-34530-4,"Innovative Exuding Time-Frame",Children,6.46,yes,"Kelly Shaffer","Penguin Books"
978-5-322-68115-7,"Ameliorated Logistical Functionalities",History,10.55,yes,"James Garcia",Hachette
978-5-326-89423-1,"Reduced Real-Time Product",Fiction,11.3,yes,"Caitlin Baker",Vintage
978-5-344-80730-1,"Function-Based Non-Volatile Internet Solution",Self-Help,6.78,yes,"Latoya Wright","Simon & Schuster"
978-5-344-95854-0,"Multi-Tiered Bandwidth-Monitored Forecast",Mystery,2.87,yes,"Kaitlin Smith",Scholastic
978-5-354-64559-5,"Exclusive Hybrid Infrastructure",Children,10.26,yes,"Gabriel Thomas MD",HarperCollins
978-5-363-31229-1,"Integrated Scalable Paradigm",Children,9.77,no,"Manuel Jenkins",Scholastic
978-5-377-28554-4,"Polarized Demand-Driven Encryption",Biography,4.45,yes,"Adam Walker",Macmillan
978-5-391-30676-7,"Cloned Executive Productivity","Science Fiction",9.04,yes,"Heather King",Knopf
978-5-400-38632-9,"Self-Enabling Uniform Function","Science Fiction",6.75,yes,"Megan Byrd",HarperCollins
978-5-405-61116-6,"Horizontal Multimedia Graphic Interface","Science Fiction",9.48,yes,"Melissa Shaw",Vintage
978-5-415-68402-8,"Programmable Fresh-Thinking Success",Classic,4.16,no,"Noah Ballard",Scholastic
978-5-419-26899-1,"Digitized Asynchronous Task-Force",Fantasy,7.03,yes,"Shawn Johnson","Random House"
978-5-419-52517-9,"Function-Based Bi-Directional Encoding",Biography,2.85,yes,"Ryan Smith","Random House"
978-5-419-53559-3,"Decentralized Clear-Thinking Productivity",Romance,9.58,yes,"Lori Davis",Vintage
978-5-432-98236-8,"Optimized Logistical Capability","Literary Fiction",9.75,no,"Traci Richards DDS",HarperCollins
978-5-453-69298-7,"Up-Sized Asynchronous Product","Science Fiction",7.27,yes,"Heather Campos",Vintage
978-5-461-45043-8,"Configurable 24/7 Archive",Self-Help,6.23,yes,"Jacqueline Monroe",HarperCollins
978-5-462-38647-9,"Reactive Asymmetric Graphical User Interface",Children,3.83,yes,"Michelle Lane",Vintage
978-5-468-83446-8,"Ergonomic Intangible Paradigm",Thriller,4.58,yes,"Andrea Martinez",Scholastic
978-5-469-23965-1,"Exclusive Discrete Approach",Fiction,11.43,no,"Alan Mccullough",Hachette
978-5-480-44152-9,"Face-To-Face Coherent Budgetary Management",Children,6.64,yes,"Judy Moses",Vintage
978-5-483-66450-2,"Networked Multi-State Help-Desk",History,7.31,yes,"Jacob Graham","Random House"
978-5-500-70694-9,"Multi-Layered High-Level Definition",Romance,7,yes,"Daisy Jensen","Penguin Books"
978-5-500-86865-1,"Enterprise-Wide Zero Administration Knowledge User",Children,8.99,yes,"Matthew Hill","Penguin Books"
978-5-521-85851-5,"Phased Impactful Moratorium",Self-Help,8.46,yes,"Amy Whitaker",Vintage
978-5-522-56281-8,"Grass-Roots Bi-Directional Framework","Science Fiction",2.1,yes,"Steven Gomez","Simon & Schuster"
978-5-531-56257-4,"Intuitive Fresh-Thinking Productivity",Children,3.68,yes,"Laura Wilson",Doubleday
978-5-556-41502-9,"Pre-Emptive Didactic Collaboration",Biography,4.44,yes,"Christopher Hancock",Hachette
978-5-577-30290-0,"Secured Clear-Thinking Flexibility",Mystery,11.29,yes,"Julia Deleon",Doubleday
978-5-590-70455-2,"Operative Solution-Oriented Encoding",Children,9.68,yes,"Johnny Welch",Knopf
978-5-597-69067-5,"Pre-Emptive Scalable Installation",Biography,8.59,yes,"Tracy Rodriguez",Doubleday
978-5-600-12552-1,"Right-Sized Value-Added Flexibility",Dystopia,10.79,yes,"Leon Hutchinson","Simon & Schuster"
978-5-614-11388-3,"Diverse Even-Keeled Knowledgebase",Thriller,11.82,yes,"Todd Reed",Knopf
978-5-619-76809-8,"Profound Dynamic Workforce","Literary Fiction",9.09,yes,"Sheila Mccoy",Vintage
978-5-625-87812-1,"Vision-Oriented Bandwidth-Monitored Initiative","Literary Fiction",7.04,yes,"Victoria Butler",Knopf
978-5-642-99505-0,"Polarized 6Thgeneration Extranet",Classic,11.18,yes,"Nicholas Tanner",Scholastic
978-5-657-40953-2,"Synergized National Strategy",Self-Help,8.7,no,"Phillip Sullivan",HarperCollins
978-5-666-31627-7,"Centralized Bifurcated Matrix",History,11.26,yes,"Henry Norris","Random House"
978-5-671-94495-5,"Phased Systematic Alliance",Thriller,10.92,yes,"Evelyn Jones","Penguin Books"
978-5-691-88370-5,"Pre-Emptive Explicit Challenge",History,5.02,yes,"Peter Davis",Knopf
978-5-703-85513-1,"Cross-Group Eco-Centric Pricing Structure",Fantasy,3.34,no,"Jennifer Bailey","Simon & Schuster"
978-5-708-95905-0,"Polarized Discrete Artificial Intelligence",Thriller,5.05,yes,"Joel Bradley",Doubleday
978-5-750-70258-2,"Ergonomic Didactic Moderator",Fantasy,3.76,yes,"Robert Williams",Doubleday
978-5-756-76768-6,"Object-Based Bi-Directional Throughput",Self-Help,11.81,yes,"George Rose","Penguin Books"
978-5-760-30174-8,"Profit-Focused Tertiary Ability",Thriller,3.07,no,"Julia Gray","Simon & Schuster"
978-5-763-24334-2,"Proactive Tertiary Groupware",Romance,4.44,yes,"Angela Perez",Knopf
978-5-779-26334-4,"Reactive Local Forecast","Science Fiction",5.09,no,"Michele Lee",Hachette
978-5-779-98643-6,"Integrated Actuating Hardware",Mystery,10.39,yes,"Brandi Daugherty","Penguin Books"
978-5-783-55537-1,"Reduced Well-Modulated Paradigm","Science Fiction",7.42,yes,"Michelle Wolfe","Random House"
978-5-785-61792-6,"Implemented Needs-Based Success",Biography,4,yes,"Jesus Jimenez",HarperCollins
978-5-786-23710-2,"Versatile Object-Oriented Alliance",Dystopia,6.12,no,"Adam James",Macmillan
978-5-788-72797-7,"Multi-Lateral Value-Added Archive",Thriller,2.36,yes,"Emily Phillips",Vintage
978-5-793-33582-5,"Assimilated Contextually-Based Knowledgebase","Science Fiction",2.11,yes,"Dennis Henry",HarperCollins
978-5-809-40972-0,"Configurable Attitude-Oriented Definition",Self-Help,3.18,yes,"Kimberly Gonzalez","Random House"
978-5-826-39552-5,"Cross-Group Next Generation Open System","Science Fiction",10.95,yes,"Mrs. Emily Oneill",Macmillan
978-5-828-95267-0,"Re-Engineered Holistic Budgetary Management",Fantasy,10.77,yes,"Megan Forbes",Knopf
978-5-834-33260-5,"Stand-Alone Methodical Policy",Fiction,2.22,yes,"Jonathan Phelps",HarperCollins
978-5-851-55268-6,"Grass-Roots Static Analyzer",Mystery,9.61,yes,"Jasmine Hernandez",Hachette
978-5-862-71993-6,"Intuitive System-Worthy Concept",Fantasy,11.88,yes,"Kevin Garcia",Vintage
978-5-869-19508-0,"Automated Logistical Database","Literary Fiction",8.21,yes,"Chad Williamson",HarperCollins
978-5-873-28909-3,"Optional Cohesive Process Improvement",Biography,7.09,yes,"Kathleen Brooks","Penguin Books"
978-5-875-79603-3,"Reduced Clear-Thinking Capacity",Fiction,8.77,yes,"Christina Garza","Simon & Schuster"
978-5-907-52567-7,"Upgradable Stable Frame","Literary Fiction",2.3,no,"James Butler",HarperCollins
978-5-916-78062-4,"Vision-Oriented Demand-Driven Migration",Thriller,2.83,no,"Jacqueline Martin",HarperCollins
978-5-918-56346-1,"Enterprise-Wide Composite Moderator",Mystery,4.8,yes,"Jason Leblanc",Hachette
978-5-948-42447-6,"Configurable Discrete Knowledgebase","Literary Fiction",3.42,yes,"Lauren Murphy",Scholastic
978-5-951-47627-1,"Front-Line Global Database",Self-Help,10.64,yes,"Krystal Bryant",Doubleday
978-5-959-29073-0,"Reactive Bottom-Line Synergy",Thriller,5.19,no,"Jeffrey Walker",Scholastic
978-5-970-18300-8,"Digitized National Function",Fantasy,4.18,no,"Joseph Gutierrez","Simon & Schuster"
978-5-982-16265-5,"Synergized Didactic Emulation",Children,3.24,yes,"Elizabeth Davis",Scholastic
978-5-983-33639-1,"Organized Coherent Matrix","Literary Fiction",5.33,yes,"Anthony Cunningham",Hachette
978-5-990-34727-3,"Centralized Real-Time Graphic Interface",Biography,5.83,no,"Stephanie Miller","Penguin Books"
978-5-993-51446-4,"Visionary Mobile Monitoring",Children,8.85,yes,"Dillon Mcneil MD",HarperCollins
978-5-998-63856-4,"Synergistic Mobile Collaboration",Fantasy,8.55,no,"Nicholas Barber","Penguin Books"
978-6-100-14543-4,"Progressive Modular Budgetary Management",Biography,2.16,yes,"Danny Holmes",Macmillan
978-6-101-90584-5,"Cross-Platform Contextually-Based Interface",History,7.71,yes,"Mr. Matthew Hill",HarperCollins
978-6-121-52568-2,"Multi-Tiered Systemic Ability",Thriller,11.48,no,"Julian Brown",Hachette
978-6-136-83024-8,"Re-Contextualized Modular Paradigm",Fiction,10.26,yes,"David Parker",Knopf
978-6-164-80851-4,"Public-Key Asymmetric Protocol","Literary Fiction",7.34,no,"Charles Carter","Penguin Books"
978-6-167-54658-3,"Inverse Grid-Enabled Support",Romance,7.91,no,"Patrick Martinez",Doubleday
978-6-180-17329-5,"Versatile Asynchronous Architecture",Dystopia,10.8,no,"Briana Miller",Scholastic
978-6-195-39451-1,"Persistent Dynamic Concept","Literary Fiction",11.47,yes,"Daniel Moore",Vintage
978-6-213-47125-9,"De-Engineered Responsive Parallelism","Literary Fiction",7.27,yes,"Jason Vaughn","Penguin Books"
978-6-219-28320-0,"Profound Fresh-Thinking Moderator",Fiction,5.04,no,"Tamara Caldwell",HarperCollins
978-6-238-70515-2,"Visionary Background Alliance",Fiction,4.6,yes,"Alison Richard","Simon & Schuster"
978-6-251-66051-5,"Reactive Stable Access",Fantasy,5.73,yes,"Debra Smith",Hachette
978-6-252-49306-6,"Centralized Real-Time Architecture",Mystery,9.54,no,"Thomas Harper","Simon & Schuster"
978-6-269-90760-2,"Extended Eco-Centric Middleware",Thriller,4.07,yes,"Noah Roberts","Penguin Books"
978-6-270-64266-7,"Synergistic Upward-Trending Model",Fantasy,5.51,no,"Marcus Joseph",HarperCollins
978-6-279-36318-2,"Pre-Emptive Global Productivity",Thriller,7.39,yes,"Daniel Owens",Knopf
978-6-294-78690-7,"Configurable Well-Modulated Neural-Net",Thriller,7.51,yes,"James Melton",Hachette
978-6-299-74286-5,"Intuitive Attitude-Oriented Info-Mediaries",Biography,8.05,yes,"Dylan Wilcox",Hachette
978-6-325-44469-1,"Face-To-Face Hybrid Workforce",Fantasy,8.25,yes,"Lee Smith",Macmillan
978-6-328-87280-4,"Programmable Hybrid Middleware",Mystery,6.65,yes,"Kelly Johnson",Scholastic
978-6-341-68554-4,"Inverse Actuating Success",Dystopia,5.02,yes,"Michele Guzman",Macmillan
978-6-357-53816-9,"User-Friendly Didactic Array",Thriller,10.9,no,"Paul Donovan","Penguin Books"
978-6-360-10395-3,"Stand-Alone Asynchronous Access",Biography,2.73,no,"Tyler Guzman",Hachette
978-6-377-68313-5,"Pre-Emptive Systemic Benchmark",Romance,7.87,no,"Aaron Bowman",Scholastic
978-6-383-57118-2,"Universal Optimal Pricing Structure",Self-Help,9.33,no,"Kristen West",Vintage
978-6-386-69077-2,"Grass-Roots Analyzing Installation",Biography,3.31,yes,"Bruce Chapman",HarperCollins
978-6-396-61684-2,"Operative Cohesive Attitude",Mystery,5.36,no,"Daniel Dunn",Doubleday
978-6-396-82596-7,"Proactive 3Rdgeneration Protocol",Fiction,10.23,yes,"Judy Figueroa",Doubleday
978-6-415-50569-7,"Enterprise-Wide Even-Keeled Instruction Set",Children,8.26,yes,"Heather Martinez","Random House"
978-6-421-32699-7,"Organic Secondary Utilization","Science Fiction",5.42,yes,"Victoria Dillon DVM",Macmillan
978-6-423-12213-6,"Realigned Actuating Contingency",Self-Help,3.18,yes,"James Miller",Doubleday
978-6-426-18444-3,"Integrated Asymmetric Workforce",Fantasy,4.67,yes,"Kevin Campbell","Random House"
978-6-430-85043-1,"Public-Key Impactful Extranet",Thriller,6.88,yes,"George Turner",Hachette
978-6-432-25833-9,"Expanded Contextually-Based Definition","Science Fiction",3.37,yes,"Adam Durham","Penguin Books"
978-6-439-41139-0,"Innovative Disintermediate Workforce",Romance,6.75,yes,"Jonathan Diaz",Hachette
978-6-451-48557-7,"Cross-Platform Tertiary Framework",Thriller,3.33,no,"Rachel Smith",Doubleday
978-6-459-17398-3,"De-Engineered Modular Productivity",History,4.35,yes,"Stephen Stephens",Doubleday
978-6-462-97207-6,"Configurable Leadingedge Challenge",Romance,2.51,yes,"Angela Brown",Doubleday
978-6-463-32768-2,"Open-Architected 24/7 Adapter",History,7.93,yes,"Jodi Richardson",Doubleday
978-6-466-27659-4,"Customizable Regional Definition",Fiction,6.85,no,"Kimberly Spears",Knopf
978-6-470-23970-2,"Synergistic Web-Enabled Neural-Net",Fantasy,8.52,yes,"Tracy Pratt",Macmillan
978-6-472-77251-2,"Switchable Multimedia Instruction Set",Fiction,3.43,no,"Dennis Mckenzie","Penguin Books"
978-6-479-15693-8,"Diverse National Portal",Fantasy,4.29,no,"Melody Warren",Scholastic
978-6-482-27878-7,"Object-Based Client-Driven Hub",Romance,3.94,yes,"Jacqueline Blake",Macmillan
978-6-484-20518-8,"Mandatory Transitional Service-Desk",Mystery,8.54,yes,"Lauren Newman",HarperCollins
978-6-490-88104-7,"Total Clear-Thinking Approach","Science Fiction",4.51,yes,"David Williams",HarperCollins
978-6-494-27329-1,"Streamlined Motivating Artificial Intelligence",Fiction,4.02,no,"Joseph Dixon","Random House"
978-6-496-64600-5,"Distributed 5Thgeneration Open System","Science Fiction",2.54,yes,"Patrick Russell","Simon & Schuster"
978-6-515-60012-6,"Configurable Web-Enabled Standardization","Science Fiction",4.11,yes,"Christopher Johnson",Vintage
978-6-517-53369-8,"Public-Key Demand-Driven Migration","Literary Fiction",6.16,yes,"Molly Walker",Scholastic
978-6-518-54350-9,"Focused Multi-State Extranet",Fiction,9.89,yes,"Brian Reilly PhD",HarperCollins
978-6-533-34347-7,"Secured Static Collaboration",Self-Help,7.37,yes,"Jacob Miller",Knopf
978-6-533-62727-1,"Ergonomic Regional Interface",Self-Help,7.37,yes,"Chad Walters",Macmillan
978-6-548-78506-1,"Fundamental Multi-State Capability",Classic,3.43,no,"Tammy Williams",Doubleday
978-6-552-20407-9,"Re-Contextualized Modular Capability",Biography,2.07,yes,"Kimberly Nelson",Doubleday
978-6-561-68028-4,"Secured Explicit Extranet",Biography,11.9,yes,"Matthew Bradley",Doubleday
978-6-562-19898-1,"Profound National Throughput",Fantasy,7.16,yes,"Darius Greer",Hachette
978-6-567-83912-0,"Operative Background Secured Line","Science Fiction",6.62,yes,"Kimberly Wagner","Penguin Books"
978-6-588-60242-0,"Customer-Focused Foreground Approach",Fiction,7.34,yes,"Kristen Davidson","Penguin Books"
978-6-614-17263-1,"Customizable Actuating Synergy","Science Fiction",3.53,yes,"Jesse Hill","Random House"
978-6-665-83080-7,"Multi-Tiered Human-Resource Task-Force",Mystery,5.7,no,"Patricia Mitchell",Macmillan
978-6-669-62082-8,"Organic Zero-Defect Info-Mediaries",Dystopia,10.57,no,"Mitchell Castro","Penguin Books"
978-6-694-23205-5,"Multi-Channeled Discrete Flexibility",Dystopia,8.13,yes,"Jeffrey Duke","Random House"
978-6-701-24972-5,"Public-Key Tertiary Migration",Dystopia,10.46,yes,"James Hall",Macmillan
978-6-716-33652-8,"Seamless Bandwidth-Monitored Workforce",Children,5.21,yes,"Kyle Frost",Hachette
978-6-728-47555-7,"Up-Sized Transitional Local Area Network",Self-Help,11.57,yes,"Alexis Moore",Hachette
978-6-729-12050-3,"Proactive Exuding Support",History,2.67,yes,"David Johnson",Vintage
978-6-741-80028-2,"Face-To-Face Discrete Interface",Biography,8.06,yes,"Ryan Alvarado",Doubleday
978-6-746-90256-9,"Quality-Focused Didactic Service-Desk",Fantasy,10.49,yes,"Nicole Scott",HarperCollins
978-6-756-52208-1,"Pre-Emptive Contextually-Based Contingency",Classic,7.23,yes,"Christopher Price","Penguin Books"
978-6-761-77181-2,"Polarized Web-Enabled Moderator",Mystery,3.84,yes,"Duane Bennett","Simon & Schuster"
978-6-769-31626-9,"Centralized Systematic Software",Fantasy,3.57,yes,"Sherry Johnson",Hachette
978-6-771-21953-1,"Down-Sized Disintermediate Success",Fiction,4.13,yes,"Barbara Romero","Random House"
978-6-793-80852-5,"Multi-Layered Methodical Application",Fantasy,9.56,yes,"Teresa Baxter",HarperCollins
978-6-802-75866-4,"Open-Source Optimal Interface",Romance,3.17,yes,"Lisa Payne",Hachette
978-6-807-36724-6,"Seamless Object-Oriented Open System","Science Fiction",9.75,no,"James Smith","Penguin Books"
978-6-810-27324-7,"Inverse Value-Added Software",Classic,4.29,yes,"Dawn Hopkins",HarperCollins
978-6-813-48752-8,"Enterprise-Wide Attitude-Oriented Leverage",Mystery,3.92,no,"Wendy Duran","Random House"
978-6-813-82845-7,"Re-Contextualized High-Level Functionalities",Mystery,3.9,yes,"Danielle Smith","Penguin Books"
978-6-837-51012-6,"Right-Sized System-Worthy Implementation",Biography,11.39,yes,"Kenneth White",Knopf
978-6-841-84569-9,"Centralized System-Worthy Installation",Fiction,10.32,yes,"Theresa Johnson",Hachette
978-6-847-22463-5,"Decentralized Contextually-Based Encoding",Fantasy,5.13,yes,"Renee Harris",Hachette
978-6-854-14629-9,"Focused Exuding Concept",Romance,11.95,yes,"Amy Mitchell",Hachette
978-6-861-67637-6,"Multi-Tiered Mobile Website",Dystopia,11.74,no,"Janice Dennis",Vintage
978-6-870-53463-6,"Up-Sized Upward-Trending Definition",Classic,2.11,yes,"Sarah Alexander","Simon & Schuster"
978-6-882-93000-6,"Vision-Oriented Grid-Enabled Archive",Romance,5.23,yes,"Amy Little",Doubleday
978-6-887-63665-9,"Down-Sized Multi-Tasking Software",Classic,3.25,yes,"Ryan Pham",HarperCollins
978-6-888-86556-0,"Streamlined Background Firmware",Thriller,7.76,no,"Marilyn Howard","Penguin Books"
978-6-915-24860-6,"Reverse-Engineered Transitional Structure",Children,7.4,yes,"Christopher Miller","Penguin Books"
978-6-915-81529-4,"Open-Architected Exuding Encryption",Self-Help,3.44,yes,"Nathan Gonzales","Penguin Books"
978-6-933-82102-0,"Synergistic Multi-State Project","Literary Fiction",2.88,yes,"Miguel Cook MD",Hachette
978-6-934-81176-7,"Synchronized Well-Modulated Internet Solution",Children,2.37,yes,"Donald Herman",Macmillan
978-6-941-96602-0,"Intuitive Homogeneous Collaboration","Literary Fiction",3.56,yes,"Seth Brown","Random House"
978-6-957-33040-0,"Assimilated Exuding Project",Fantasy,9.88,yes,"Kristine Moran",Macmillan
978-6-972-55706-7,"Cross-Group Eco-Centric Secured Line",Children,4.18,yes,"Cheryl Delgado",Knopf
978-6-975-69270-8,"Triple-Buffered Didactic Productivity",Romance,7.5,yes,"Monica Perkins",Vintage
978-6-977-78389-7,"Triple-Buffered Regional Extranet",History,7.92,no,"Patrick Mitchell",Macmillan
978-6-982-15544-6,"Function-Based Upward-Trending Hardware",Fiction,6.6,yes,"Kelly Murphy",Hachette
978-7-134-85965-5,"Networked Transitional Data-Warehouse",Romance,3.31,yes,"Paul Vang",Hachette
978-7-143-56210-9,"Programmable Directional Artificial Intelligence",Fantasy,4.75,yes,"Angela Myers",HarperCollins
978-7-144-93318-6,"Profound Dynamic Firmware",Dystopia,4.54,yes,"Jennifer Underwood",Hachette
978-7-162-21497-4,"Versatile Static Task-Force",Fantasy,3.37,yes,"Carla Young",Knopf
978-7-172-40595-4,"Horizontal Clear-Thinking Architecture",Thriller,9.91,yes,"Thomas Ballard",Scholastic
978-7-178-25278-2,"Exclusive Well-Modulated Superstructure",Fiction,6.8,yes,"Cody Cruz",Hachette
978-7-189-20508-6,"Upgradable Next Generation Moderator",Mystery,4.88,yes,"Andrew Sandoval",HarperCollins
978-7-193-76895-7,"Synergistic Incremental Archive",Thriller,2.56,yes,"Stacey Oneal",Knopf
978-7-205-55015-1,"Managed Zero-Defect Definition","Science Fiction",8.46,yes,"Clinton Mcpherson","Simon & Schuster"
978-7-207-48722-6,"Persistent Fresh-Thinking Customer Loyalty",Classic,3.16,yes,"William Anderson",Hachette
978-7-209-41091-6,"Multi-Channeled Context-Sensitive Core",Biography,5.59,yes,"Ashley Hill",Macmillan
978-7-212-78121-2,"Reduced Secondary Access","Literary Fiction",9.62,yes,"Kenneth Lewis",Knopf
978-7-230-91560-8,"Optional Fresh-Thinking Database",Fiction,11.07,yes,"Leroy Moon",HarperCollins
978-7-249-18292-2,"Seamless Asymmetric Open System",Fantasy,4.76,yes,"Pamela Ayala",Vintage
978-7-272-56160-2,"Monitored Optimizing Productivity",Mystery,9.2,no,"Anthony Cooper","Random House"
978-7-274-78712-9,"Managed Discrete Superstructure",Thriller,10.41,yes,"Luke Miranda","Simon & Schuster"
978-7-281-99477-1,"Versatile Exuding Implementation",Mystery,11.62,yes,"Jose Andrade",Scholastic
978-7-285-90127-6,"Front-Line Optimal Toolset",Thriller,5.59,yes,"Kaylee Fernandez","Random House"
978-7-316-63368-7,"Re-Contextualized Clear-Thinking Definition",Thriller,7.17,yes,"Kaitlyn Brown","Penguin Books"
978-7-317-56507-4,"Reactive Well-Modulated Customer Loyalty",Dystopia,4.8,yes,"Carlos Harris",Knopf
978-7-319-36485-8,"Multi-Tiered Foreground Internet Solution",Children,11.33,yes,"Michael Curry","Random House"
978-7-346-20890-8,"Re-Contextualized Radical Project",Thriller,2.12,no,"Christian Marks","Simon & Schuster"
978-7-350-99783-6,"Optional Leadingedge Application",Children,6.54,yes,"Michael Anderson","Random House"
978-7-371-95929-9,"Reactive Well-Modulated Installation",Biography,4.28,yes,"Richard Rose",Doubleday
978-7-374-52318-4,"Virtual Responsive Structure",Dystopia,7.47,yes,"Samantha Wallace",Doubleday
978-7-378-40619-1,"User-Centric Context-Sensitive Algorithm",History,3.36,yes,"Gloria Snow","Random House"
978-7-378-60556-7,"Inverse Empowering Moratorium",Thriller,6.22,yes,"Gabriella Robertson",HarperCollins
978-7-379-35272-1,"User-Friendly Didactic Support",Dystopia,3.62,no,"John Doyle MD",Macmillan
978-7-381-88470-8,"Synchronized Methodical Contingency",Mystery,2.69,yes,"Angela Mcmahon",Vintage
978-7-395-31468-6,"Synchronized Stable Portal",Romance,10.96,yes,"Christopher Harrington",Doubleday
978-7-403-44619-7,"Compatible Bifurcated Capacity",Fiction,3,yes,"Lynn Cohen","Penguin Books"
978-7-415-70731-4,"Cross-Platform Tangible Internet Solution",Classic,2.9,yes,"James Conner",Doubleday
978-7-423-25559-7,"Exclusive Human-Resource Website",Romance,8.53,yes,"Joan Reed",Scholastic
978-7-434-54236-6,"Configurable 24Hour Analyzer",Children,9.52,no,"Steven Adkins",Macmillan
978-7-439-83420-9,"Customer-Focused Zero Tolerance Definition",Biography,6.73,yes,"Daniel Wright",Vintage
978-7-442-66441-9,"Mandatory Impactful Time-Frame",Mystery,5,yes,"Sharon Brown",Vintage
978-7-446-24721-7,"Realigned Human-Resource Extranet",Fiction,3.39,yes,"Randy Hamilton",Macmillan
978-7-454-30332-4,"Digitized Upward-Trending Website",History,11.37,yes,"Steven Atkinson","Penguin Books"
978-7-467-50038-7,"Re-Contextualized Radical Forecast","Science Fiction",3.09,yes,"Sandra Wagner",Macmillan
978-7-509-41979-2,"Inverse Interactive Hierarchy",Self-Help,8.88,yes,"Jesse Mcintyre",Scholastic
978-7-510-87402-6,"Persevering Tertiary Hub",History,8.21,yes,"David Yu",Vintage
978-7-521-54605-2,"Organized Holistic Knowledgebase",Classic,4.18,yes,"Melissa James","Simon & Schuster"
978-7-525-73471-7,"Reduced Heuristic Software",History,5.4,yes,"Albert Lewis",Hachette
978-7-541-27627-4,"Enterprise-Wide Upward-Trending Graphical User Interface",Romance,5.89,yes,"Mary Baker",Doubleday
978-7-549-78690-8,"Organized Local Firmware",Biography,3.59,yes,"Margaret Smith",Macmillan
978-7-570-14716-0,"Open-Architected Methodical Projection",Mystery,7.57,yes,"Ruth Johnson","Random House"
978-7-575-83889-9,"Realigned Content-Based Access","Literary Fiction",8.81,yes,"Nathaniel Phillips",Hachette
978-7-577-99143-8,"Re-Contextualized Secondary Time-Frame",Dystopia,3.28,yes,"Marie Johnson","Random House"
978-7-578-80855-4,"Customizable Exuding Flexibility","Science Fiction",6.45,yes,"Anthony Romero",Doubleday
978-7-585-28024-2,"Team-Oriented Background Workforce",History,4.26,no,"Stacey Dominguez","Penguin Books"
978-7-599-24802-6,"Robust Optimal Orchestration","Literary Fiction",2.46,yes,"Martin Gardner",Hachette
978-7-599-52898-9,"Digitized Mobile Capability",Fiction,10.69,yes,"Daniel Cooper",Vintage
978-7-614-79615-2,"Organic Coherent Encoding",Fiction,11.61,yes,"Jessica Washington","Random House"
978-7-614-97475-5,"Grass-Roots Maximized Array",Mystery,8.15,yes,"Whitney Rodgers",Scholastic
